Date,Price
2018-04-09,6713.8991912
2018-04-10,6844.5805191
2018-04-11,6898.941320300001
2018-04-12,7829.5816014
2018-04-13,7869.3301931000005
2018-04-14,8051.947514899999
2018-04-15,8299.9800878
2018-04-16,8005.669870000001
2018-04-17,7911.538535199999
2018-04-18,8189.1969766
2018-04-19,8260.0252788
2018-04-20,8528.404803
2018-04-21,8778.8271717
2018-04-22,8909.9983494
2018-04-23,8938.9999918
2018-04-24,9471.4387936
2018-04-25,9174.7778963
2018-04-26,9092.969643
2018-04-27,8988.3406263
2018-04-28,9254.284991
2018-04-29,9315.9909713
2018-04-30,9209.7511445
2018-05-01,9075.105265200002
2018-05-02,9226.0083817
2018-05-03,9636.9282719
2018-05-04,9697.447417200001
2018-05-05,9748.9831127
2018-05-06,9505.38
2018-05-07,9395.8353355
2018-05-08,9187.0099389
2018-05-09,9235.040933499999
2018-05-10,9102.599114
2018-05-11,8386.524693899999
2018-05-12,8428.4790006
2018-05-13,8694.5735144
2018-05-14,8733.4718877
2018-05-15,8501.2910434
2018-05-16,8288.3900175
2018-05-17,8146.9869339
2018-05-18,8231.7681002
2018-05-19,8197.9996152
2018-05-20,8516.6918955
2018-05-21,8383.8036342
2018-05-22,8070.000638799999
2018-05-23,7640.997781800001
2018-05-24,7539.939447600001
2018-05-25,7438.2171845
2018-05-26,7464.0180729
2018-05-27,7325.0
2018-05-28,7158.5526963
2018-05-29,7494.611195899999
2018-05-30,7329.1758983
2018-05-31,7555.0001661
2018-06-01,7432.0476044
2018-06-02,7636.0148638
2018-06-03,7690.007894600001
2018-06-04,7525.0400168
2018-06-05,7585.202663600001
2018-06-06,7653.610536
2018-06-07,7659.074637600001
2018-06-08,7649.086417
2018-06-09,7617.0477124
2018-06-10,6758.1732293
2018-06-11,6773.068931100001
2018-06-12,6542.0411215
2018-06-13,6275.5924213
2018-06-14,6657.924891
2018-06-15,6475.885491
2018-06-16,6524.266689
2018-06-17,6492.6921743
2018-06-18,6714.0080818999995
2018-06-19,6715.9352052
2018-06-20,6718.310528
2018-06-21,6711.0578897
2018-06-22,6026.575035399999
2018-06-23,6237.444741699999
2018-06-24,6155.798535600001
2018-06-25,6259.9955919
2018-06-26,6219.253469300001
2018-06-27,6073.9699599
